Estacion,Region,Latitude,Longitude,Altitude,Mean value,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Temperature,12.8,12.5,12.4,10.9,6.9,4.4,4.1,6.7,9.3,11.7,12.8,13.2
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Max Temperature,20.1,19.9,19.9,19.7,17.3,15.6,15.4,17.4,19.2,21.1,21.7,21.3
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Min Temperature,7.4,7,6.3,2.8,-3,-6.2,-6.8,-4.2,-1.1,2.8,5.2,6.9
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Hunidity,65.3,64.1,62.4,48.2,34.6,31.1,30.1,31.7,34.4,45.3,52.3,59.2
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Wind speed,6.9,7.1,6.5,6.4,6,4.9,6.6,6.6,8.6,8.7,8.8,8.3
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Nubosidad total (octavos),5.2,4.8,4.1,2.7,1.8,1.6,1.4,1.6,2,3,3.6,4.5
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Precipitation ,97.5,68.4,55.9,8.2,1,0.5,0,1.4,3.5,16,27.3,71.9
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Precipitation freq,15.9,12.2,9.8,2.4,0.3,0.1,0,0.4,0.9,3.5,7.4,12.7
Oran Aero,NOA,-23.15,-64.33,359,Temperature,25.5,25.1,23.9,20.9,17.7,15,14.7,17.2,20.1,23.8,25,26
Oran Aero,NOA,-23.15,-64.33,359,Max Temperature,32.3,31.1,29.4,26,23.2,21.2,22,25.6,28.3,31.5,32,32.6
Oran Aero,NOA,-23.15,-64.33,359,Min Temperature,21.5,20.8,20.5,17.8,14.2,11,9.2,11,13.5,17.9,19.5,21.2
Oran Aero,NOA,-23.15,-64.33,359,Hunidity,,,83.6,85.3,83.8,82.3,75.4,67.3,59.1,62.5,69.6,74.7
Oran Aero,NOA,-23.15,-64.33,359,Wind speed,8.4,8.4,6.9,6.4,6.2,6.8,7.7,8.2,9.1,9.2,9.6,8.6
Oran Aero,NOA,-23.15,-64.33,359,Nubosidad total (octavos),,,5.7,6,5.6,5.1,4,3.5,3.9,4.6,5,5.3
Oran Aero,NOA,-23.15,-64.33,359,Precipitation ,216.6,183.7,184.2,70.9,19.8,6.3,4.5,5.4,16.3,60,108.1,170.1
Oran Aero,NOA,-23.15,-64.33,359,Precipitation freq,14.3,12.9,15.3,12,6.6,3.9,2.8,2.2,3.2,7.1,10.4,12.9
Tartagal Aero,NOA,-22.52,-63.8,450,Temperature,25.2,24.4,22.9,20.2,17.2,14.9,14.6,17.4,20.2,23.9,24.6,25.3
Tartagal Aero,NOA,-22.52,-63.8,450,Max Temperature,31.7,30.7,29.1,25.5,22.7,21,22.1,25.5,28.2,31.4,31.7,32
Tartagal Aero,NOA,-22.52,-63.8,450,Min Temperature,20.6,20,19.6,17,13.2,10.7,9.1,10.6,13.2,17.5,18.8,20.3
Tartagal Aero,NOA,-22.52,-63.8,450,Hunidity,78.5,,,85,83.5,80.8,71.9,62,55.1,60.1,67.1,74.4
Tartagal Aero,NOA,-22.52,-63.8,450,Wind speed,6.1,5.9,5.2,4.7,4.6,4.6,5.6,6.7,7.3,8.1,8.6,7.1
Tartagal Aero,NOA,-22.52,-63.8,450,Nubosidad total (octavos),,,,,,,,,,,,
Tartagal Aero,NOA,-22.52,-63.8,450,Precipitation ,200.2,182.8,187.7,65.3,22,6.7,3.6,5.1,15.1,45,110,176.4
Tartagal Aero,NOA,-22.52,-63.8,450,Precipitation freq,11.6,11.1,11.7,10.5,5.9,3.6,2.2,1.7,2.4,5.1,9,11.4
Jujuy Aero,NOA,-24.24,-65.27,1239,Temperature,23.6,22.5,21.4,18.3,14.8,12.2,11.9,15,17.8,21.7,23,23.8
Jujuy Aero,NOA,-24.24,-65.27,1239,Max Temperature,30,28.8,27.2,24,21.3,19.7,20.3,23.3,25.7,29,29.9,30.5
Jujuy Aero,NOA,-24.24,-65.27,1239,Min Temperature,18.3,17.5,17.1,14,10,6.8,5.8,8.2,10.6,14.8,16.7,18
Jujuy Aero,NOA,-24.24,-65.27,1239,Hunidity,74.4,77.7,82,82.4,79.7,76.7,68,58.7,52.3,56,62,68.8
Jujuy Aero,NOA,-24.24,-65.27,1239,Wind speed,8.2,8.3,7.3,7.1,7.4,7.3,9.2,10.3,11,10.7,10.2,8.9
Jujuy Aero,NOA,-24.24,-65.27,1239,Nubosidad total (octavos),5.3,5.2,5.4,5.3,4.7,4.1,3.2,3.1,3.4,4.1,4.5,5
Jujuy Aero,NOA,-24.24,-65.27,1239,Precipitation ,153.2,152.9,138.9,49.4,11.6,2.8,3.4,3.1,5.4,28.1,61.1,130.4
Jujuy Aero,NOA,-24.24,-65.27,1239,Precipitation freq,13.4,12.5,14.1,8.7,3.9,2,2.3,1.6,1.9,4.8,7.8,11.6
Salta Aero,NOA,-24.85,-65.48,1238,Temperature,21.4,20.3,19.5,16.6,13.1,10.6,10.1,12.7,15.1,19.1,20.5,21.5
Salta Aero,NOA,-24.85,-65.48,1238,Max Temperature,27.4,26.4,25.2,22.7,20.3,19.6,20,22.3,23.9,26.8,27.5,28
Salta Aero,NOA,-24.85,-65.48,1238,Min Temperature,16.6,15.7,15.3,11.9,7.6,4.1,2.9,4.9,7.3,11.8,14.1,15.9
Salta Aero,NOA,-24.85,-65.48,1238,Hunidity,78.2,81,83.7,82.9,80.5,75.5,69.1,62.8,58.2,61.2,67.1,73.1
Salta Aero,NOA,-24.85,-65.48,1238,Wind speed,6.8,6.5,5.8,5.8,6.3,6.1,6.9,7.5,7.9,9,8.7,7.7
Salta Aero,NOA,-24.85,-65.48,1238,Nubosidad total (octavos),5.9,5.8,5.9,5.6,5,4.2,3.3,3.2,3.5,4.4,5,5.5
Salta Aero,NOA,-24.85,-65.48,1238,Precipitation ,192.6,154.2,110.6,33,8,1.5,3.9,3.8,7.6,25.1,62.2,145.6
Salta Aero,NOA,-24.85,-65.48,1238,Precipitation freq,16.3,14.8,14.2,7.9,3.9,1.6,2.1,2.1,2.7,5.7,9.5,14
Las Lomitas,NEA,-24.71,-60.58,130,Temperature,27.9,26.8,25.8,22.5,18.8,16.9,16.6,19.1,21.2,24.6,25.9,27.3
Las Lomitas,NEA,-24.71,-60.58,130,Max Temperature,35.1,33.8,32.8,28.8,25.4,23.4,24.1,27.1,29.1,32.2,33.2,34.4
Las Lomitas,NEA,-24.71,-60.58,130,Min Temperature,21.7,21.1,20.3,17.5,13.7,11.8,10.4,12.2,14.2,17.8,19.3,20.9
Las Lomitas,NEA,-24.71,-60.58,130,Hunidity,69.3,72.2,75.2,79.4,79.9,79.3,71.3,62.8,60.5,62.7,65.9,68.2
Las Lomitas,NEA,-24.71,-60.58,130,Wind speed,5.4,7,6,5.9,5.8,5.3,6.9,8.6,8.7,9.4,9.9,8.2
Las Lomitas,NEA,-24.71,-60.58,130,Nubosidad total (octavos),4,3.9,3.5,4.2,4.1,4.4,3.5,3.1,3.5,3.7,3.7,3.8
Las Lomitas,NEA,-24.71,-60.58,130,Precipitation ,142.4,116.7,160.4,84.6,57.5,18.6,13.1,16.1,30.4,72.5,119,132.6
Las Lomitas,NEA,-24.71,-60.58,130,Precipitation freq,8.8,9.2,9.9,9.3,7.1,6,3.9,2.9,4.4,7.3,8.7,8.8
Iguazu Aero,NEA,-25.74,-54.47,270,Temperature,25.6,24.9,24.2,21.4,17.6,15.9,15.7,17.6,19.1,21.9,23.5,25
Iguazu Aero,NEA,-25.74,-54.47,270,Max Temperature,31.8,31.2,30.7,27.5,23.5,21.7,22.2,24.7,25.8,28.3,30.1,31.4
Iguazu Aero,NEA,-25.74,-54.47,270,Min Temperature,20.5,20.2,19.3,16.8,13.1,11.7,10.8,12.2,13.7,16.5,17.8,19.5
Iguazu Aero,NEA,-25.74,-54.47,270,Hunidity,78.1,80.4,79.7,83.7,86.5,88.1,83.6,78.5,76.4,77.3,74.9,75.7
Iguazu Aero,NEA,-25.74,-54.47,270,Wind speed,6.4,6.3,5.3,6.1,6.4,6.2,7.4,8.4,8.8,7.4,7.5,6.6
Iguazu Aero,NEA,-25.74,-54.47,270,Nubosidad total (octavos),4.2,4.3,3.6,3.7,3.6,4,3.4,3.5,4,4.1,3.7,3.9
Iguazu Aero,NEA,-25.74,-54.47,270,Precipitation ,177.7,154.7,126.5,169.1,192.7,148.3,115.8,94.2,160.3,237,186.3,186.9
Iguazu Aero,NEA,-25.74,-54.47,270,Precipitation freq,10.3,10.2,8.1,8.9,8.8,8.6,8.3,6.8,9.6,11.6,9.4,9.9
Tucuman Aero,NOA,-26.84,-65.1,450,Temperature,25.2,24,22.6,19.2,15.7,12.7,12.2,14.9,17.8,21.8,23.4,24.9
Tucuman Aero,NOA,-26.84,-65.1,450,Max Temperature,31,29.7,27.9,24.6,21.2,18.6,19.3,22.8,25.4,28.9,29.9,30.8
Tucuman Aero,NOA,-26.84,-65.1,450,Min Temperature,20.1,19.3,18.5,15.1,11.4,8.2,6.8,8.5,11,15.2,17.5,19.3
Tucuman Aero,NOA,-26.84,-65.1,450,Hunidity,74.2,76.8,81,81.2,80.3,78.9,70.9,62.1,58.4,61.5,67.1,70.8
Tucuman Aero,NOA,-26.84,-65.1,450,Wind speed,11.6,11.3,10,9.6,9.4,9.7,10.7,11.2,11.8,12.2,12,11.1
Tucuman Aero,NOA,-26.84,-65.1,450,Nubosidad total (octavos),5,5.1,5.2,5.1,4.7,4.6,3.4,3.3,3.5,4.2,4.7,4.8
Tucuman Aero,NOA,-26.84,-65.1,450,Precipitation ,230.6,172.3,151.1,62.5,25.9,13.1,7.4,8.5,16.1,65.1,103,175.9
Tucuman Aero,NOA,-26.84,-65.1,450,Precipitation freq,13.7,11.5,12.9,9.6,6.9,5.2,3.3,2.1,3.3,7.3,10.8,12.1
Santiago Del Estero Aero,NOA,-27.77,-64.31,199,Temperature,26.7,25.5,23.8,19.8,16.1,12.7,12.2,15.3,18.5,22.7,24.8,26.5
Santiago Del Estero Aero,NOA,-27.77,-64.31,199,Max Temperature,33.9,32.5,30.4,26.3,23.1,20.1,20.9,24.4,26.9,30.7,32.2,33.7
Santiago Del Estero Aero,NOA,-27.77,-64.31,199,Min Temperature,20.5,19.7,18.5,14.6,10.4,6.8,5,7.3,10.3,15.3,17.8,20
Santiago Del Estero Aero,NOA,-27.77,-64.31,199,Hunidity,66.8,70,74.2,76.6,74.5,73.2,63.6,54.3,50.9,54.8,59,62.7
Santiago Del Estero Aero,NOA,-27.77,-64.31,199,Wind speed,9.2,9.2,8.6,7.8,7.3,7.1,8.2,9,10.2,11.6,10.9,10
Santiago Del Estero Aero,NOA,-27.77,-64.31,199,Nubosidad total (octavos),4,4.1,4.3,4.5,4.2,4.2,3.1,2.9,3.2,3.6,3.8,3.9
Santiago Del Estero Aero,NOA,-27.77,-64.31,199,Precipitation ,134.8,100.6,91.1,35.9,17.2,6.6,3,2,12.3,44.7,66.7,114.2
Santiago Del Estero Aero,NOA,-27.77,-64.31,199,Precipitation freq,9.8,8.7,9.5,7.1,4.5,3.9,1.9,1.3,2.2,5.9,7.2,8.9
Resistencia Aero,NEA,-27.45,-59.06,52,Temperature,26.8,25.9,24.6,21.2,17.6,15.4,14.8,16.7,18.5,21.8,23.6,25.8
Resistencia Aero,NEA,-27.45,-59.06,52,Max Temperature,33.3,32.1,30.7,26.9,23.6,21.3,21.4,23.7,25.3,28.1,29.8,32.1
Resistencia Aero,NEA,-27.45,-59.06,52,Min Temperature,20.9,20.5,19.5,16.5,12.6,10.8,9.5,10.8,12.4,15.9,17.7,19.7
Resistencia Aero,NEA,-27.45,-59.06,52,Hunidity,70.8,74.5,77.4,81,81.7,82.5,77.3,72.5,70.6,71.8,72,70.8
Resistencia Aero,NEA,-27.45,-59.06,52,Wind speed,10.1,10.5,9.9,9.8,9.8,10,11.2,12.7,13.8,13.4,12.5,10.7
Resistencia Aero,NEA,-27.45,-59.06,52,Nubosidad total (octavos),3.7,3.8,3.5,4.1,3.8,4.4,3.7,3.6,3.8,3.7,3.5,3.6
Resistencia Aero,NEA,-27.45,-59.06,52,Precipitation ,161.1,165.6,174.4,202.3,78.4,63.8,30.6,38,68.9,134.7,168.2,146.9
Resistencia Aero,NEA,-27.45,-59.06,52,Precipitation freq,8.9,9.1,9.2,9.6,7.1,7.9,5.6,5,7.6,10.1,10,9.1
Formosa Aero,NEA,-26.21,-58.23,60,Temperature,27.6,26.8,25.7,22.5,18.9,17,16.3,18.1,19.8,23,24.7,26.7
Formosa Aero,NEA,-26.21,-58.23,60,Max Temperature,33.8,32.8,31.9,28.1,24.4,22.4,22.3,24.8,26.3,29,30.7,32.8
Formosa Aero,NEA,-26.21,-58.23,60,Min Temperature,22.3,21.9,20.9,18.2,14.6,12.9,11.7,13,14.5,17.9,19.4,21.3
Formosa Aero,NEA,-26.21,-58.23,60,Hunidity,71.2,74.3,75.9,79.5,80.2,80.8,76.5,71.6,70.2,71.8,71.4,70.8
Formosa Aero,NEA,-26.21,-58.23,60,Wind speed,11.8,11.9,11.2,11.5,11.6,11.9,13.1,14.4,14.9,14.9,14.4,13
Formosa Aero,NEA,-26.21,-58.23,60,Nubosidad total (octavos),3.9,3.9,3.6,4,3.9,4.4,3.8,3.6,3.8,3.9,3.6,3.7
Formosa Aero,NEA,-26.21,-58.23,60,Precipitation ,165.7,128.7,144.8,175,99.3,68.9,47.5,44.2,90.8,142,166.5,163.4
Formosa Aero,NEA,-26.21,-58.23,60,Precipitation freq,9.1,8.9,8.5,9.2,7.7,7.2,5.5,5.8,7.6,9.6,9.1,9.1
Corrientes Aero,NEA,-27.45,-58.76,62,Temperature,27,26,24.7,21.4,18,15.9,15.2,17,18.5,21.8,23.7,25.8
Corrientes Aero,NEA,-27.45,-58.76,62,Max Temperature,33.2,31.9,30.6,26.8,23.4,21,21.1,23.4,24.9,27.9,29.5,31.9
Corrientes Aero,NEA,-27.45,-58.76,62,Min Temperature,21.3,20.8,19.7,16.9,13.4,11.6,10.4,11.5,13.1,16.3,17.9,20.1
Corrientes Aero,NEA,-27.45,-58.76,62,Hunidity,70.7,74.6,77.7,80.2,80,81.2,76.5,72.3,70.8,72.3,72.1,70.9
Corrientes Aero,NEA,-27.45,-58.76,62,Wind speed,11.9,12.2,11.8,11.9,11.9,12.1,13.4,14.6,15.5,15.7,14.1,12.5
Corrientes Aero,NEA,-27.45,-58.76,62,Nubosidad total (octavos),3.6,3.6,3.3,3.9,3.6,4.3,3.5,3.5,3.6,3.5,3.3,3.5
Corrientes Aero,NEA,-27.45,-58.76,62,Precipitation ,167.3,161.9,175.1,206.6,91.9,70.5,37.5,47.2,75.7,150.7,184.3,157.7
Corrientes Aero,NEA,-27.45,-58.76,62,Precipitation freq,8.5,9.4,8.6,10.2,7.5,8.4,6.1,5.7,8.1,10.4,10,9.3
Posadas Aero,NEA,-27.39,-55.97,125,Temperature,27,26.2,25.1,21.9,18.3,16.5,16.1,17.9,19.2,22.3,24.2,26.3
Posadas Aero,NEA,-27.39,-55.97,125,Max Temperature,33,32.1,31.2,27.6,23.9,21.9,21.9,24.2,25.1,28.3,30.3,32.4
Posadas Aero,NEA,-27.39,-55.97,125,Min Temperature,21.8,21.3,20.2,17.4,14,12.3,11.6,13.1,14.3,17.1,18.6,20.7
Posadas Aero,NEA,-27.39,-55.97,125,Hunidity,68.5,72.1,73,76.4,77.4,78.8,74.7,70.3,69.8,69.8,66.9,65.8
Posadas Aero,NEA,-27.39,-55.97,125,Wind speed,9.1,9.1,8.6,8.7,9,8.9,10.1,10.9,11,11,10.4,9.6
Posadas Aero,NEA,-27.39,-55.97,125,Nubosidad total (octavos),3.6,3.6,3.3,3.7,3.6,4.1,3.6,3.6,3.8,3.7,3.4,3.4
Posadas Aero,NEA,-27.39,-55.97,125,Precipitation ,167.2,154.9,144.1,193.8,138.2,139.8,103.3,93.9,145.1,226,181,179.9
Posadas Aero,NEA,-27.39,-55.97,125,Precipitation freq,10.3,9.6,9,10.2,8.3,9.4,9,8.3,10.9,11.3,9.5,9.4
Tinogasta,CUYO,-28.06,-67.57,1190,Temperature,25.6,24.4,22.9,18.3,13.5,10.3,10,13.2,16.2,21.3,23.9,25.9
Tinogasta,CUYO,-28.06,-67.57,1190,Max Temperature,33.5,32.4,30.9,26.9,22.6,19.9,19.8,23.1,25.7,30.2,32.5,33.9
Tinogasta,CUYO,-28.06,-67.57,1190,Min Temperature,18.7,17.3,16,10.1,4.5,0.8,0.2,2.5,5.9,11.2,15.1,17.9
Tinogasta,CUYO,-28.06,-67.57,1190,Hunidity,56.9,58.3,60.8,61.6,63.2,60,55.4,47.7,47.3,46.5,48.6,51.6
Tinogasta,CUYO,-28.06,-67.57,1190,Wind speed,5.9,5.2,6.6,4.2,4.3,4.4,4.6,5.9,5.4,6.4,6.5,6.2
Tinogasta,CUYO,-28.06,-67.57,1190,Nubosidad total (octavos),4.3,4.1,3.6,2.8,3,2.9,2.4,2.1,2.3,2.5,3.2,3.8
Tinogasta,CUYO,-28.06,-67.57,1190,Precipitation ,,,,,,,,,,,,
Tinogasta,CUYO,-28.06,-67.57,1190,Precipitation freq,,,,,,,,,,,,
La Rioja Aero,CUYO,-29.38,-66.8,429,Temperature,27.2,25.8,23.9,19.7,15.1,11.4,10.8,14.2,17.9,22.9,25.5,27.4
La Rioja Aero,CUYO,-29.38,-66.8,429,Max Temperature,34.7,33,30.7,26.7,22.6,19.4,19.5,23,26.2,30.9,33.5,35.1
La Rioja Aero,CUYO,-29.38,-66.8,429,Min Temperature,21.1,19.9,18.7,14.5,9.7,5.6,4.4,7.2,10.9,16,18.7,20.9
La Rioja Aero,CUYO,-29.38,-66.8,429,Hunidity,61.8,64.6,68.6,69.7,69.7,69.4,62.9,52.9,48.9,48.8,51.9,55.9
La Rioja Aero,CUYO,-29.38,-66.8,429,Wind speed,,,,,,,,,,,,
La Rioja Aero,CUYO,-29.38,-66.8,429,Nubosidad total (octavos),3.9,3.9,3.9,3.6,3.4,3.4,2.6,2.4,2.5,2.8,3.2,3.6
La Rioja Aero,CUYO,-29.38,-66.8,429,Precipitation ,96.3,73.6,65,29.3,9,2.9,3.8,4.2,9.4,17.6,35.9,65
La Rioja Aero,CUYO,-29.38,-66.8,429,Precipitation freq,8.5,7.4,6,3.9,2.1,0.9,1,0.6,1.6,2.3,4.1,6.4
Catamarca Aero,NOA,-28.6,-65.75,454,Temperature,27.3,26,24.4,20.4,16,12,11.6,15.4,19.1,23.6,25.6,27.3
Catamarca Aero,NOA,-28.6,-65.75,454,Max Temperature,34.1,32.8,31.2,27.5,23.5,20,20.2,23.9,26.8,30.9,32.7,34.3
Catamarca Aero,NOA,-28.6,-65.75,454,Min Temperature,21.5,20.4,19.1,14.7,9.8,5.3,4.4,7.7,11.8,16.8,19.3,21.2
Catamarca Aero,NOA,-28.6,-65.75,454,Hunidity,56.2,59.8,63.8,65.3,66.3,66.1,58.6,47.7,43,44.7,48.5,52.5
Catamarca Aero,NOA,-28.6,-65.75,454,Wind speed,20.9,18.9,17,14.2,11.7,9.5,10.9,14.8,18.6,22.4,22.5,21.9
Catamarca Aero,NOA,-28.6,-65.75,454,Nubosidad total (octavos),3.6,3.6,3.4,3.4,3.5,3.5,2.8,2.7,2.8,2.9,3.1,3.3
Catamarca Aero,NOA,-28.6,-65.75,454,Precipitation ,83.8,69.2,52.4,27,12.6,4.7,8.1,3.2,7.3,25.9,50.2,68
Catamarca Aero,NOA,-28.6,-65.75,454,Precipitation freq,8.9,7.2,7,5.3,3.3,2,2.2,1.2,2.2,3.6,5.4,7.4
Villa Maria Del Rio Seco,CENTRO,-29.04,-63.8,227,Temperature,24,22.4,21,17.3,14,11.2,10.5,12.9,15.3,19.2,21.4,23.4
Villa Maria Del Rio Seco,CENTRO,-29.04,-63.8,227,Max Temperature,31.4,29.8,28.1,24.3,21.3,18.7,18.7,21.6,23.6,27.1,29.1,30.9
Villa Maria Del Rio Seco,CENTRO,-29.04,-63.8,227,Min Temperature,,,,,,,,,,,,
Villa Maria Del Rio Seco,CENTRO,-29.04,-63.8,227,Hunidity,74.7,79.7,81.8,82.1,79,76.7,71.8,66.3,64.7,67.5,70.4,72.5
Villa Maria Del Rio Seco,CENTRO,-29.04,-63.8,227,Wind speed,6.2,5.7,5.2,5.3,5.2,5.3,5.7,6.8,7.6,8.8,8.6,7.1
Villa Maria Del Rio Seco,CENTRO,-29.04,-63.8,227,Nubosidad total (octavos),3.9,4.1,4.1,4.4,4.4,4.2,3.3,3.2,3.3,3.6,3.8,4
Villa Maria Del Rio Seco,CENTRO,-29.04,-63.8,227,Precipitation ,130.6,119.7,134.5,70.4,21.3,8.4,12.5,6.7,27.1,62.6,89,130.2
Villa Maria Del Rio Seco,CENTRO,-29.04,-63.8,227,Precipitation freq,9.9,9.1,9.4,7.6,4.4,3.3,2.7,1.6,3.6,6.6,8.7,9.6
Ceres Aero,PAMPEANA,-29.89,-61.94,88,Temperature,25.3,24.1,22.6,18.8,15.2,12.3,11.5,13.7,16,19.8,22.2,24.3
Ceres Aero,PAMPEANA,-29.89,-61.94,88,Max Temperature,32.1,30.9,29.3,25,21.9,18.8,18.8,21.7,23.7,27,29,31
Ceres Aero,PAMPEANA,-29.89,-61.94,88,Min Temperature,19.2,18.5,17.3,14,10.3,7.5,6.2,7.6,9.5,13.4,15.8,17.9
Ceres Aero,PAMPEANA,-29.89,-61.94,88,Hunidity,72,76.3,78.8,81.8,81.7,82.3,78.3,72.7,69.6,69.9,70.6,71.3
Ceres Aero,PAMPEANA,-29.89,-61.94,88,Wind speed,10.2,10.6,10.7,9.8,10.3,10.2,12,14.1,14.6,15.1,13.8,11.9
Ceres Aero,PAMPEANA,-29.89,-61.94,88,Nubosidad total (octavos),3.3,3.4,3.4,3.9,4,4.3,3.5,3.4,3.4,3.6,3.3,3.3
Ceres Aero,PAMPEANA,-29.89,-61.94,88,Precipitation ,132,122.4,153.5,95.4,35.4,18.7,15.6,13,36.4,83.8,103.2,143.7
Ceres Aero,PAMPEANA,-29.89,-61.94,88,Precipitation freq,9.4,8.2,9.3,9.3,6,5.1,3.8,3.6,5.1,7.5,9.3,9.4
Reconquista Aero,NEA,-29.21,-59.69,53,Temperature,26.4,25.2,23.7,20,16.7,14.1,13.4,15.4,17.1,20.6,22.9,25
