Estacion,Region,Latitude,Longitude,Altitude,Mean value,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Reconquista Aero,NEA,-29.21,-59.69,53,Max Temperature,32.4,30.9,29.4,25.4,22.2,19.3,19.5,22.2,23.6,26.7,28.7,31
Reconquista Aero,NEA,-29.21,-59.69,53,Min Temperature,20.8,20.2,19,15.7,12.2,9.8,8.7,10,11.6,15.1,17.3,19.5
Reconquista Aero,NEA,-29.21,-59.69,53,Hunidity,70.3,75.6,78,81.5,81.5,83.1,78.8,73.5,71.5,71.8,71,70.4
Reconquista Aero,NEA,-29.21,-59.69,53,Wind speed,11.5,12,11.7,10.6,10.8,10.7,12.6,14.4,15,15.5,14,12.3
Reconquista Aero,NEA,-29.21,-59.69,53,Nubosidad total (octavos),3.2,3.4,3.2,3.8,3.6,4.3,3.5,3.4,3.5,3.5,3.2,3.1
Reconquista Aero,NEA,-29.21,-59.69,53,Precipitation ,141.4,156.6,168.3,155.6,58.9,49.3,31.2,26.3,53.1,114,159.8,136.4
Reconquista Aero,NEA,-29.21,-59.69,53,Precipitation freq,7.8,8.1,8.4,9.2,5.8,5.7,4.3,3.8,6.1,8.7,9.5,8.7
Paso De Los Libres Aero,NEA,-29.69,-57.15,70,Temperature,26.2,25,23.6,19.9,16.3,13.9,13.4,15.3,16.7,20.1,22.5,25
Paso De Los Libres Aero,NEA,-29.69,-57.15,70,Max Temperature,32.6,31,29.6,25.6,21.9,19.2,19.1,21.6,22.6,25.9,28.5,31.2
Paso De Los Libres Aero,NEA,-29.69,-57.15,70,Min Temperature,20.5,20,18.5,15.2,11.7,9.7,9,10.3,11.7,14.7,16.8,19
Paso De Los Libres Aero,NEA,-29.69,-57.15,70,Hunidity,67,72.5,74.4,78.1,80.4,82.3,79.6,75,73.8,72.2,68.7,65.7
Paso De Los Libres Aero,NEA,-29.69,-57.15,70,Wind speed,,,,,,,,,,,,
Paso De Los Libres Aero,NEA,-29.69,-57.15,70,Nubosidad total (octavos),3.8,3.9,3.5,3.9,3.9,4.3,3.9,3.8,4,3.9,3.5,3.6
Paso De Los Libres Aero,NEA,-29.69,-57.15,70,Precipitation ,128,154.3,166.8,205,129.8,101.4,73.7,56.8,108.7,152.6,149.9,120.6
Paso De Los Libres Aero,NEA,-29.69,-57.15,70,Precipitation freq,7.1,8.5,7.7,8.6,7.4,8,6.7,5.9,7.7,9.1,7.7,6.9
San Juan Aero,CUYO,-31.57,-68.42,598,Temperature,27.1,25.5,22.8,17.2,12.2,8.3,7.7,10.6,14.4,19.8,23.4,26.3
San Juan Aero,CUYO,-31.57,-68.42,598,Max Temperature,34.9,33.4,30.3,25.2,20.5,16.9,16.5,19.9,23.2,28.1,31.6,34.2
San Juan Aero,CUYO,-31.57,-68.42,598,Min Temperature,19.5,18.2,16.2,10.7,5.8,1.5,0.7,2.9,6.5,11.4,14.8,18
San Juan Aero,CUYO,-31.57,-68.42,598,Hunidity,44.3,47.1,54.5,57.9,61.4,62.5,57.8,48.2,43.8,39.6,38.9,40.1
San Juan Aero,CUYO,-31.57,-68.42,598,Wind speed,15.5,13.9,12.9,10.6,9.3,9.3,10.3,11.6,12.6,14.8,16,16.1
San Juan Aero,CUYO,-31.57,-68.42,598,Nubosidad total (octavos),2.8,2.7,2.8,2.5,2.9,2.9,2.5,2.3,2.5,2.3,2.3,2.5
San Juan Aero,CUYO,-31.57,-68.42,598,Precipitation ,15.7,18.9,11.2,4.4,4.4,1.6,3.5,3.2,5.6,3.6,7,11.6
San Juan Aero,CUYO,-31.57,-68.42,598,Precipitation freq,3.5,2.9,2.5,1.3,1.2,0.5,1.1,0.9,1.8,1.1,1.6,2.3
Chamical Aero,CUYO,-30.36,-66.3,462,Temperature,26.5,25.1,23.2,19.1,15.2,11.9,11.3,14.4,17.7,22.2,24.6,26.4
Chamical Aero,CUYO,-30.36,-66.3,462,Max Temperature,33.2,31.6,29.2,25.2,21.4,18.3,18.6,22,25,29.3,31.7,33.5
Chamical Aero,CUYO,-30.36,-66.3,462,Min Temperature,20.3,19.3,18.1,14.1,10,6.6,5.3,7.7,10.6,15.1,17.7,19.7
Chamical Aero,CUYO,-30.36,-66.3,462,Hunidity,60,63.3,67.4,68.6,68.7,67.4,60,50.3,46.5,47.3,50.5,54.8
Chamical Aero,CUYO,-30.36,-66.3,462,Wind speed,11.7,9.8,8.2,7.1,6.6,6.4,7.5,9.5,11.3,13.8,14,13.2
Chamical Aero,CUYO,-30.36,-66.3,462,Nubosidad total (octavos),3.6,3.7,3.9,3.9,3.8,3.9,2.9,2.6,2.8,2.9,3.2,3.4
Chamical Aero,CUYO,-30.36,-66.3,462,Precipitation ,105,95.1,68.2,26.6,9.9,2.1,4.9,1.7,9.4,30.4,42.6,83.5
Chamical Aero,CUYO,-30.36,-66.3,462,Precipitation freq,8.6,6.6,6.8,4.4,2.7,1.5,1.4,1,2.2,2.9,5.4,7.2
Villa Dolores Aero,CENTRO,-31.95,-65.2,609,Temperature,25.1,23.7,21.8,17.7,13.8,10.7,10.1,12.9,15.8,20.3,22.8,24.6
Villa Dolores Aero,CENTRO,-31.95,-65.2,609,Max Temperature,32.3,31,28.8,24.9,21.1,18.3,18.2,21.3,24,28.1,30.4,31.9
Villa Dolores Aero,CENTRO,-31.95,-65.2,609,Min Temperature,18.1,17.1,16,12.2,8.7,5.6,4.5,6.6,8.8,12.8,15.2,17.3
Villa Dolores Aero,CENTRO,-31.95,-65.2,609,Hunidity,61.1,64.9,70.3,71.4,72.2,70.5,64.3,54.4,50.5,50.7,53,57.9
Villa Dolores Aero,CENTRO,-31.95,-65.2,609,Wind speed,7.1,5,4.6,5,4.6,4.3,5.6,6.5,7.1,8.7,8.6,7.3
Villa Dolores Aero,CENTRO,-31.95,-65.2,609,Nubosidad total (octavos),3.4,3.5,3.6,3.5,3.8,3.6,3.1,3,3.1,3.2,3.3,3.5
Villa Dolores Aero,CENTRO,-31.95,-65.2,609,Precipitation ,121.1,102.2,94.4,42.4,17.6,4.7,13.2,6.1,22.9,35.1,75.1,113.3
Villa Dolores Aero,CENTRO,-31.95,-65.2,609,Precipitation freq,10.5,9.1,8.6,5.5,3.7,1.8,2.5,1.6,3.7,4.8,8,10.5
Cordoba Aero,CENTRO,-31.32,-64.21,474,Temperature,23.4,22.2,20.7,17.2,13.7,10.7,10,12.5,14.9,18.6,20.9,22.9
Cordoba Aero,CENTRO,-31.32,-64.21,474,Max Temperature,29.4,28.3,26.9,23.6,20.5,18,17.6,20.3,22.3,25.6,27.5,29
Cordoba Aero,CENTRO,-31.32,-64.21,474,Min Temperature,17.5,16.6,15.5,11.7,8.3,5.1,4,5.9,8.2,11.9,14.4,16.8
Cordoba Aero,CENTRO,-31.32,-64.21,474,Hunidity,69.9,73.2,76,74.4,72.7,70.3,65.7,58.3,56.7,60,62.4,65.9
Cordoba Aero,CENTRO,-31.32,-64.21,474,Wind speed,12.6,11.3,11.4,11.5,11.2,10.9,12,13.5,14.8,15.8,15.8,13.7
Cordoba Aero,CENTRO,-31.32,-64.21,474,Nubosidad total (octavos),3.8,3.9,3.9,4,4.2,4,3.5,3.3,3.5,3.7,3.7,4
Cordoba Aero,CENTRO,-31.32,-64.21,474,Precipitation ,141,115.9,126.9,66.3,21.3,4.8,13.5,9.7,35.2,71.9,118.3,156.9
Cordoba Aero,CENTRO,-31.32,-64.21,474,Precipitation freq,11,9.5,9.6,6.4,4.3,2,2.7,1.7,3.7,6.7,8.9,11.1
Cordoba Observatorio,CENTRO,-31.42,-64.18,401,Temperature,24.3,23.1,21.7,18,14.5,11.4,10.8,13.3,15.7,19.5,21.8,23.7
Cordoba Observatorio,CENTRO,-31.42,-64.18,401,Max Temperature,30.9,29.6,28.1,24.8,21.3,18.7,18.3,21.1,23.2,26.6,28.7,30.3
Cordoba Observatorio,CENTRO,-31.42,-64.18,401,Min Temperature,18.5,17.5,16.4,12.8,9.4,6.3,5.5,7.3,9.5,13.3,15.6,17.9
Cordoba Observatorio,CENTRO,-31.42,-64.18,401,Hunidity,66.3,69.5,72.6,72.3,71.4,70.1,65.5,58,55.9,58,60.3,63.6
Cordoba Observatorio,CENTRO,-31.42,-64.18,401,Wind speed,,,,,,,,,,,,
Cordoba Observatorio,CENTRO,-31.42,-64.18,401,Nubosidad total (octavos),3.7,3.7,3.8,3.9,4.1,4,3.4,3.4,3.5,3.6,3.6,3.8
Cordoba Observatorio,CENTRO,-31.42,-64.18,401,Precipitation ,126.3,97,112.1,61.3,18.8,4.5,13.3,8.9,35.2,69.8,112.2,154.6
Cordoba Observatorio,CENTRO,-31.42,-64.18,401,Precipitation freq,12,10.3,10.3,7.1,5,2.8,3.2,2.2,4.9,7.6,10.5,12.7
Pilar Obs.,CENTRO,-31.67,-63.88,338,Temperature,23.4,22.1,20.6,17,13.6,10.5,9.7,11.9,14.3,18.3,20.8,22.9
Pilar Obs.,CENTRO,-31.67,-63.88,338,Max Temperature,29.9,28.6,27,23.7,20.2,17.4,17,19.8,22,25.3,27.7,29.4
Pilar Obs.,CENTRO,-31.67,-63.88,338,Min Temperature,17.9,16.9,15.7,12.1,8.6,5.5,4.4,5.8,8.2,12.2,14.8,17.1
Pilar Obs.,CENTRO,-31.67,-63.88,338,Hunidity,70.2,74.2,77.2,75.5,74.3,72.6,68,60.9,58.9,61.6,62.9,66.1
Pilar Obs.,CENTRO,-31.67,-63.88,338,Wind speed,,,,,,,,,,,,
Pilar Obs.,CENTRO,-31.67,-63.88,338,Nubosidad total (octavos),3.5,3.6,3.7,3.8,4.1,4,3.5,3.3,3.4,3.6,3.6,3.7
Pilar Obs.,CENTRO,-31.67,-63.88,338,Precipitation ,132.2,106.1,109.6,63.4,23.9,4.9,13.8,9.6,33.1,66.6,103.2,130.1
Pilar Obs.,CENTRO,-31.67,-63.88,338,Precipitation freq,10.7,9.1,9.5,7,4.8,2.9,2.9,2.3,4.5,7.4,9.9,11.7
Sauce Viejo Aero,PAMPEANA,-31.72,-60.82,18,Temperature,25.8,24.4,22.8,18.7,15.4,12.2,11.5,13.7,15.9,19.5,22.1,24.4
Sauce Viejo Aero,PAMPEANA,-31.72,-60.82,18,Max Temperature,31.8,30.1,28.5,24.3,21,17.6,17.3,19.9,21.9,25.4,27.9,30.2
Sauce Viejo Aero,PAMPEANA,-31.72,-60.82,18,Min Temperature,20.1,19.2,18,14.1,10.9,7.9,6.9,8.5,10.5,14.1,16.7,18.9
Sauce Viejo Aero,PAMPEANA,-31.72,-60.82,18,Hunidity,70.9,75.4,78.3,81.5,82.5,83.6,80.4,75.7,73,72.7,71.1,70.5
Sauce Viejo Aero,PAMPEANA,-31.72,-60.82,18,Wind speed,9.2,8.8,9.6,8.9,9.8,10.1,12.1,13.8,13.9,14.3,13.4,10.9
Sauce Viejo Aero,PAMPEANA,-31.72,-60.82,18,Nubosidad total (octavos),3,3.2,3.1,3.5,3.6,4,3.4,3.2,3.3,3.3,3.1,3.1
Sauce Viejo Aero,PAMPEANA,-31.72,-60.82,18,Precipitation ,95.4,112,146.4,116.2,49.4,31.5,23.9,28.4,53.2,110.5,128.9,124.9
Sauce Viejo Aero,PAMPEANA,-31.72,-60.82,18,Precipitation freq,7,7,7.9,7.8,4.7,3.5,3,3.3,4.9,7.3,7.5,8.2
Parana Aero,PAMPEANA,-31.8,-60.48,78,Temperature,25.1,23.6,22,18,14.8,12,11.3,13.2,15.1,18.5,21.3,23.6
Parana Aero,PAMPEANA,-31.8,-60.48,78,Max Temperature,31.2,29.6,27.9,23.5,20.2,16.9,16.6,19.3,21.1,24.5,27.2,29.6
Parana Aero,PAMPEANA,-31.8,-60.48,78,Min Temperature,19.3,18.5,17.1,13.6,10.6,8,7.1,8.4,9.9,13.1,15.6,17.8
Parana Aero,PAMPEANA,-31.8,-60.48,78,Hunidity,65.6,71.5,74.5,78.3,78.9,80.1,76.6,71.3,68.8,69.3,66.9,65.2
Parana Aero,PAMPEANA,-31.8,-60.48,78,Wind speed,10.6,10.3,9.6,9.5,9.4,10,11.3,12.7,13.4,13.9,13.2,12
Parana Aero,PAMPEANA,-31.8,-60.48,78,Nubosidad total (octavos),3,3.2,3.1,3.5,3.7,4.1,3.5,3.3,3.4,3.4,3.1,3.1
Parana Aero,PAMPEANA,-31.8,-60.48,78,Precipitation ,115.2,134.8,155,132.7,58.3,38.2,32.4,32.4,61.2,127.6,118.7,141.2
Parana Aero,PAMPEANA,-31.8,-60.48,78,Precipitation freq,7.6,8,8,8.4,5.4,4.9,4.3,4.3,5.6,9,8.2,9.2
Monte Caseros Aero,NEA,-30.25,-57.63,62,Temperature,26.3,25,23.5,19.6,16.1,13.7,13.1,15,16.6,20,22.5,25
Monte Caseros Aero,NEA,-30.25,-57.63,62,Max Temperature,32.6,31,29.6,25.3,21.7,18.9,18.8,21.3,22.4,25.8,28.4,31.2
Monte Caseros Aero,NEA,-30.25,-57.63,62,Min Temperature,20.6,19.9,18.5,15.2,11.7,9.5,8.8,10,11.5,14.6,16.8,19
Monte Caseros Aero,NEA,-30.25,-57.63,62,Hunidity,66.9,72.9,74.7,79,80.4,81.9,78.9,74.5,73.1,71.9,69.1,65.8
Monte Caseros Aero,NEA,-30.25,-57.63,62,Wind speed,,,,,,,,,,,,
Monte Caseros Aero,NEA,-30.25,-57.63,62,Nubosidad total (octavos),3.3,3.5,3.2,3.6,3.6,4.2,3.7,3.7,3.8,3.6,3.3,3.3
Monte Caseros Aero,NEA,-30.25,-57.63,62,Precipitation ,154.1,144.7,154.3,189.7,110.9,88.4,64.1,57.5,107.3,146.5,154,134.1
Monte Caseros Aero,NEA,-30.25,-57.63,62,Precipitation freq,8.3,8.8,8.5,9.5,7.6,7.8,6.4,5.8,7.9,9.4,8.3,8.1
Concordia Aero,NEA,-31.3,-58.02,34,Temperature,25.8,24.4,22.8,18.8,15.3,12.7,12.2,14.1,15.7,19.1,21.7,24.2
Concordia Aero,NEA,-31.3,-58.02,34,Max Temperature,32.2,30.4,28.8,24.5,20.8,17.9,17.8,20.2,21.8,25.1,27.7,30.6
Concordia Aero,NEA,-31.3,-58.02,34,Min Temperature,19.4,18.8,17.3,13.8,10.5,8.2,7.4,8.6,10.1,13.2,15.4,17.7
Concordia Aero,NEA,-31.3,-58.02,34,Hunidity,63.5,70.1,72.4,77.5,79.8,81,78,73.9,71.4,70.4,67.1,63.7
Concordia Aero,NEA,-31.3,-58.02,34,Wind speed,9.3,8.5,7.5,6.8,7,7.2,8.6,10.4,11.8,12.3,11.3,10.9
Concordia Aero,NEA,-31.3,-58.02,34,Nubosidad total (octavos),3.1,3.5,3.1,3.5,3.7,4.2,3.8,3.6,3.7,3.6,3.2,3.1
Concordia Aero,NEA,-31.3,-58.02,34,Precipitation ,133.9,145.7,156.5,163.4,99.7,82.4,52.2,58.7,85.6,136.9,140.8,121
Concordia Aero,NEA,-31.3,-58.02,34,Precipitation freq,8.3,8.4,8.2,9,7.8,7.8,6.9,6.4,7.1,8.8,7.8,7.8
San Martin (Mza),CUYO,-33.08,-68.47,654,Temperature,24.6,23.2,20.5,15.6,11.3,8,7.5,10.2,13.3,18,21.3,23.9
San Martin (Mza),CUYO,-33.08,-68.47,654,Max Temperature,32.4,31.1,28.1,23.5,19.1,15.7,15.4,18.6,21.5,26,29.2,31.7
San Martin (Mza),CUYO,-33.08,-68.47,654,Min Temperature,17.8,16.5,14.8,10.1,6.1,2.7,1.9,4,6.8,11,14,16.8
San Martin (Mza),CUYO,-33.08,-68.47,654,Hunidity,55.5,59.2,66.4,69.8,70.6,69.9,65,56.7,54.7,51.3,51.1,51.5
San Martin (Mza),CUYO,-33.08,-68.47,654,Wind speed,7.1,6.2,6,5.2,4.7,4.5,5.1,5.9,6.9,7.7,8.4,7.5
San Martin (Mza),CUYO,-33.08,-68.47,654,Nubosidad total (octavos),2.9,3,3.1,3,3.4,3.3,3,2.8,2.9,2.7,2.6,2.8
San Martin (Mza),CUYO,-33.08,-68.47,654,Precipitation ,45,36.3,43,15.8,9.2,3.7,6.8,6.4,12.4,12.7,20.1,28.4
San Martin (Mza),CUYO,-33.08,-68.47,654,Precipitation freq,6.3,5,4.4,2.6,2.2,1.4,1.9,1.6,2.7,2.2,3.7,5.3
Mendoza Aero,CUYO,-32.83,-68.78,704,Temperature,25.5,24,21.3,16.2,11.8,8.4,7.9,10.6,13.9,18.8,22.2,24.9
Mendoza Aero,CUYO,-32.83,-68.78,704,Max Temperature,32.3,30.9,27.9,23.2,18.7,15.7,15,18.3,21.1,25.9,29.2,31.8
Mendoza Aero,CUYO,-32.83,-68.78,704,Min Temperature,18.7,17.4,15.5,10.4,6.2,2.9,2.1,4.2,7.2,11.7,15.1,17.9
Mendoza Aero,CUYO,-32.83,-68.78,704,Hunidity,49.8,53.6,61.8,65.6,68.3,69.4,64.4,55.1,51.3,45.7,44.5,45.8
Mendoza Aero,CUYO,-32.83,-68.78,704,Wind speed,8.3,6.9,6,4.9,4.5,4.3,4.9,6,6.7,8.1,8.9,8.8
Mendoza Aero,CUYO,-32.83,-68.78,704,Nubosidad total (octavos),3.3,3.4,3.4,3.2,3.7,3.5,3.3,3.1,3.2,3,3,3.1
Mendoza Aero,CUYO,-32.83,-68.78,704,Precipitation ,50.5,33.7,34.9,16.5,10.5,6.3,8,8,15.1,10.4,16.4,24.3
Mendoza Aero,CUYO,-32.83,-68.78,704,Precipitation freq,6.1,5.1,4.9,3.5,3.2,2.1,2.7,2.4,3.8,3,4,4.3
Mendoza Observatorio,CUYO,-32.88,-68.82,704,Temperature,23.9,22.5,20,15.3,11.2,8.1,7.5,10,13,17.5,20.6,23.2
Mendoza Observatorio,CUYO,-32.88,-68.82,704,Max Temperature,30.4,29.1,26.5,22,17.9,15,14.5,17.3,19.9,24.2,27.3,29.8
Mendoza Observatorio,CUYO,-32.88,-68.82,704,Min Temperature,18.2,16.9,15.1,10.8,7,3.9,3.1,5.1,7.4,11.5,14.5,17.3
Mendoza Observatorio,CUYO,-32.88,-68.82,704,Hunidity,53.5,58.1,64.7,66.1,67.8,68.8,64.8,57.3,54.9,50.7,50.5,51.3
Mendoza Observatorio,CUYO,-32.88,-68.82,704,Wind speed,4.4,3.8,4,3.4,3,3.1,3.8,4.3,4.3,5.2,5.7,4.9
Mendoza Observatorio,CUYO,-32.88,-68.82,704,Nubosidad total (octavos),3.4,3.5,3.6,3.4,3.8,3.7,3.4,3.2,3.4,3.1,3.1,3.3
Mendoza Observatorio,CUYO,-32.88,-68.82,704,Precipitation ,40,43,38.7,19.6,12.9,8.7,10.9,10.4,18.8,13.7,20.7,28
Mendoza Observatorio,CUYO,-32.88,-68.82,704,Precipitation freq,7.4,6.5,7.4,4.4,3.7,3.2,3.5,3.4,4.9,4,4.4,5.7
San Luis Aero,CUYO,-33.27,-66.35,702,Temperature,24.4,23.2,20.8,16.6,12.9,10,9.4,11.9,14.7,18.9,21.6,23.8
San Luis Aero,CUYO,-33.27,-66.35,702,Max Temperature,31.1,30,27.3,23.3,19.7,17,16.6,19.3,21.8,25.8,28.4,30.5
San Luis Aero,CUYO,-33.27,-66.35,702,Min Temperature,17.9,17,15.3,11.3,7.7,4.5,3.7,5.9,8.5,12.5,15,17.1
San Luis Aero,CUYO,-33.27,-66.35,702,Hunidity,54.4,56.7,63.7,64.6,64.2,62.4,57.6,49.6,47,46.9,48.3,51.4
San Luis Aero,CUYO,-33.27,-66.35,702,Wind speed,18,16.7,15.1,14.8,13.8,14.2,15.4,17.3,17.9,21.7,20.9,20.1
San Luis Aero,CUYO,-33.27,-66.35,702,Nubosidad total (octavos),3.4,3.2,3.4,3.3,3.9,3.9,3.5,3.2,3.4,3.3,3.3,3.4
San Luis Aero,CUYO,-33.27,-66.35,702,Precipitation ,119.5,97.5,98.9,41.4,19.8,5.7,11.2,8.6,24.3,40.5,80.4,110.1
San Luis Aero,CUYO,-33.27,-66.35,702,Precipitation freq,10.2,8.3,7.9,5,3.3,1.9,2.7,2.2,4.3,5.4,7.8,10.6
Villa Reynolds Aero,CUYO,-33.73,-65.38,486,Temperature,22.9,21.7,19.5,15.1,11.2,7.9,7.1,9.6,12.7,16.9,19.8,22.2
Villa Reynolds Aero,CUYO,-33.73,-65.38,486,Max Temperature,30.8,30,27.7,23.9,20.3,17.4,16.9,19.7,22,25.2,27.8,30
Villa Reynolds Aero,CUYO,-33.73,-65.38,486,Min Temperature,15.2,14.3,12.7,8.3,4.4,1,-0.1,1.6,4.4,8.9,11.8,14.3
Villa Reynolds Aero,CUYO,-33.73,-65.38,486,Hunidity,68.2,70.7,76,76.5,76.4,75.9,72.2,65.7,63,62.9,63,65
Villa Reynolds Aero,CUYO,-33.73,-65.38,486,Wind speed,12.4,11.3,10.2,8.9,8.5,8.4,8.9,10.5,12.3,15.1,15.8,14.3
Villa Reynolds Aero,CUYO,-33.73,-65.38,486,Nubosidad total (octavos),3.8,3.6,3.7,3.6,4.1,4.2,3.8,3.7,3.8,4,3.9,3.9
Villa Reynolds Aero,CUYO,-33.73,-65.38,486,Precipitation ,103.7,85.7,94.6,55,28.5,9.5,18.8,17.1,35.2,58.8,85.9,113.1
Villa Reynolds Aero,CUYO,-33.73,-65.38,486,Precipitation freq,9.8,8.1,9,6,4.4,2.7,3.7,3.4,5.4,8.3,9.7,10.9
Rio Cuarto Aero,PAMPEANA,-33.13,-64.22,421,Temperature,22.9,21.8,20.1,16.3,12.7,9.7,8.9,11,13.6,17.4,20.1,22.2
Rio Cuarto Aero,PAMPEANA,-33.13,-64.22,421,Max Temperature,28.9,28,26.3,22.7,19,15.9,15.5,18.2,20.5,24,26.5,28.3
Rio Cuarto Aero,PAMPEANA,-33.13,-64.22,421,Min Temperature,17.5,16.6,15.2,11.5,8,4.9,4,5.6,7.9,11.6,14.3,16.6
Rio Cuarto Aero,PAMPEANA,-33.13,-64.22,421,Hunidity,67.8,70.2,74,72.9,72.2,70.9,66.8,60.2,58.6,60.8,61.2,63.8
Rio Cuarto Aero,PAMPEANA,-33.13,-64.22,421,Wind speed,15.9,14.3,13.7,13.8,12.4,13.5,15.1,16.7,18.3,19,18.3,16.8
Rio Cuarto Aero,PAMPEANA,-33.13,-64.22,421,Nubosidad total (octavos),3.4,3.4,3.4,3.5,3.9,3.9,3.5,3.3,3.5,3.7,3.6,3.6
